"","State.x","FIPS","County.x","Age65AndOlderPct2020","AsianNonHispanicPct2020","BlackNonHispanicPct2020","HispanicPct2020","MultipleRacePct2020","NativeAmericanNonHispanicPct2020","Under18Pct2020","WhiteNonHispanicPct2020","AsianHomelessVetPct","BlackHomelessVetPct","HispanicHomelessVetPct","MultiHomelessVetPct","NativeAmHomelessVetPct"
"2252","OR",41009,"Columbia",19.46034342,1.066763011,0.570461503,5.837722718,8.712848695,1.175150697,20.65070642,84.1012379,0.0142602495543672,0.34,0.0263843648208469,0.018769096464426,0.103559870550162
"2253","OR",41011,"Coos",26.70147392,1.121224722,0.398897257,6.610297402,8.92205332,2.032989881,17.78250089,82.45622141,0.010989010989011,0.393822393822394,0.0188723205964585,0.0148455031935094,0.0484848484848485
"2254","OR",41013,"Crook",25.03436009,0.460829493,0.31530439,7.288382246,8.149405772,1.059099361,19.67418546,84.3803056,0.0701754385964912,1.30769230769231,0.0449251247920133,0.0426587301587302,0.244274809160305
"2255","OR",41015,"Curry",34.73940118,0.912735648,0.328414228,7.139810629,9.020728482,1.966220251,14.1815235,82.86274844,0.0373831775700935,1.32467532467532,0.0483870967741935,0.040661938534279,0.13882863340564
"2256","OR",41017,"Deschutes",20.19187604,1.221166893,0.396463105,8.694445986,8.706047323,0.574518418,20.21961837,83.02270331,0.00330441966129698,0.129770992366412,0.00469919359517317,0.00498261877172654,0.0561896400351185
"2257","OR",41019,"Douglas",25.93771639,1.065637899,0.344421363,5.983759139,8.367730506,1.523367596,19.1023462,84.10445949,0.00675105485232068,0.266318537859008,0.0121731289449955,0.0092423428264374,0.0377804014167651
"2258","OR",41021,"Gilliam",27.61904762,0.30075188,0.15037594,5.363408521,7.268170426,1.453634085,20,87.56892231,1.33333333333333,34,0.757009345794392,0.593103448275862,2.20689655172414
"2259","OR",41023,"Grant",31.01064565,0.317987004,0.138255219,3.912622702,7.327526614,0.801880271,18.29116549,88.8981059,0.347826086956522,10.2,0.286219081272085,0.162264150943396,1.10344827586207
"2260","OR",41025,"Harney",24.32288192,0.480320213,0.066711141,5.256837892,7.018012008,2.921947965,22.09472982,85.85723816,0.222222222222222,20.4,0.205583756345178,0.163498098859316,0.292237442922374
"2261","OR",41027,"Hood River",16.47412103,1.589022814,0.196021187,29.81190307,15.47316178,0.621428869,23.37656921,62.28886016,0.020997375328084,2.17021276595745,0.0113318410744264,0.0231805929919137,0.429530201342282
